Modulo,Zona,Orden,Activo
M_M1_DER_,Módulos,713,Si
M_M2_IZQ_,Módulos,714,Si
M_M2_LAT_,Módulos,715,Si
M_M3_LAT_,Módulos,716,Si
M_M3_DER_,Módulos,717,Si
M_M4_IZQ_,Módulos,718,Si
M_M4_DER_,Módulos,719,Si
M_M5_IZQ_,Módulos,720,Si
M_M5_DER_,Módulos,721,Si
M_M6_DER,Módulos,722,Si
M_M6 LAT,Módulos,723,Si
M_M7_IZQ_,Módulos,724,Si
M_M7_DER_,Módulos,725,Si
M_M8_,Módulos,726,Si
M_M9_IZQ_,Módulos,727,Si
M_M9_DER_,Módulos,728,Si
M_M10_IZQ_,Módulos,729,Si
M_M10_DER_,Módulos,730,Si
M_M11_IZQ_,Módulos,731,Si
M_M12_LAT_,Módulos,732,Si
M_M12_LAT_,Módulos,733,Si
M_M12_LAT_,Módulos,734,Si
M_M12_DER_,Módulos,735,Si
M_M13_IZQ_,Módulos,736,Si
M_M13_IZQ_,Módulos,737,Si
M_M13_DER_,Módulos,738,Si
M_M14_IZQ_,Módulos,739,Si
M_M14_DER_,Módulos,740,Si
M_M15_,Módulos,741,Si
M_M15_LAT,Módulos,742,Si
M_M15_LAT,Módulos,743,Si
CPB1,C,744,Si
CPB2,C,745,Si
CPB3,C,746,Si
CPB4,C,747,Si
CPB5,C,748,Si
CPB6,C,749,Si
CPB7,C,750,Si
CPB8,C,751,Si
CPB9,C,752,Si
CPB10,C,753,Si
CPB11,C,754,Si
CPB12,C,755,Si
CPB13,C,756,Si
CPB14,C,757,Si
CPB15,C,758,Si
CPB16,C,759,Si
CPB17,C,760,Si
CPB18,C,761,Si
CPB19,C,762,Si
CPB20,C,763,Si
CPB21,C,764,Si
CPB22,C,765,Si
CPB23,C,766,Si
CPB24,C,767,Si
CPB25,C,768,Si
CPB26,C,769,Si
CPB27,C,770,Si
CPB28,C,771,Si
CPB29,C,772,Si
CPB30,C,773,Si
CPB31,C,774,Si
CPB32,C,775,Si
CPC1,C,776,Si
CPC2,C,777,Si
CPC3,C,778,Si
CPC4,C,779,Si
CPC5,C,780,Si
CPC6,C,781,Si
CPC7,C,782,Si
CPC8,C,783,Si
CPC9,C,784,Si
CPC10,C,785,Si
CPC11,C,786,Si
CPC12,C,787,Si
CPC13,C,788,Si
CPC14,C,789,Si
CPC15,C,790,Si
CPC16,C,791,Si
PCPC01,P,792,Si
CPC17,C,793,Si
CPC18,C,794,Si
CPC19,C,795,Si
CPC20,C,796,Si
CPC21,C,797,Si
CPC22,C,798,Si
CPC23,C,799,Si
CPC23,C,800,Si
CPC24,C,801,Si
CPC24,C,802,Si
CPC25,C,803,Si
CPC26,C,804,Si
CPC27,C,805,Si
CPC28,C,806,Si
CPC29,C,807,Si
CPC30,C,808,Si
CPC31,C,809,Si
CPC32,C,810,Si
CPD1,C,811,Si
CPD2,C,812,Si
CPD3,C,813,Si
CPD4,C,814,Si
CPD5,C,815,Si
CPD6,C,816,Si
CPD7,C,817,Si
CPD8,C,818,Si
CPD9,C,819,Si
CPD10,C,820,Si
CPD11,C,821,Si
CPD12,C,822,Si
CPD13,C,823,Si
CPD14,C,824,Si
CPD15,C,825,Si
CPD16,C,826,Si
PCPD01,P,827,Si
CPD17,C,828,Si
CPD18,C,829,Si
CPD19,C,830,Si
CPD20,C,831,Si
CPD21,C,832,Si
CPD22,C,833,Si
CPD23,C,834,Si
CPD24,C,835,Si
CPD25,C,836,Si
CPD26,C,837,Si
CPD27,C,838,Si
CPD28,C,839,Si
CPD29,C,840,Si
CPD30,C,841,Si
CPD31,C,842,Si
CPD32,C,843,Si
CPE1,C,844,Si
CPE2,C,845,Si
CPE3,C,846,Si
CPE4,C,847,Si
CPE5,C,848,Si
CPE6,C,849,Si
CPE7,C,850,Si
CPE8,C,851,Si
CPE9,C,852,Si
CPE10,C,853,Si
CPE11,C,854,Si
CPE12,C,855,Si
CPE12,C,856,Si
CPE13,C,857,Si
CPE14,C,858,Si
CPE14,C,859,Si
CPE15,C,860,Si
CPE16,C,861,Si
CPE16,C,862,Si
PCPE,P,863,Si
PCPE,P,864,Si
CPE17,C,865,Si
CPE18,C,866,Si
CPE19,C,867,Si
CPE19,C,868,Si
CPE20,C,869,Si
CPE21,C,870,Si
CPE22,C,871,Si
CPE23,C,872,Si
CPE24,C,873,Si
CPE25,C,874,Si
CPE26,C,875,Si
CPE27,C,876,Si
CPE27,C,877,Si
CPE27,C,878,Si
CPE28,C,879,Si
CPE28,C,880,Si
CPE29,C,881,Si
CPE30,C,882,Si
CPE31,C,883,Si
CPE32,C,884,Si
CPE32,C,885,Si
CPF1,C,886,Si
CPF2,C,887,Si
CPF3,C,888,Si
CPF4,C,889,Si
CPF5,C,890,Si
CPF5,C,891,Si
CPF6,C,892,Si
CPF7,C,893,Si
CPF8,C,894,Si
CPF9,C,895,Si
CPF10,C,896,Si
CPF11,C,897,Si
CPF12,C,898,Si
CPF13,C,899,Si
CPF14,C,900,Si
CPF15,C,901,Si
CPF16,C,902,Si
CPF17,C,903,Si
CPF18,C,904,Si
CPF19,C,905,Si
CPF20,C,906,Si
CPF22,C,907,Si
CPF23,C,908,Si
CPF23,C,909,Si
CPF23,C,910,Si
CPF25,C,911,Si
CPF26,C,912,Si
CPF27,C,913,Si
CPF28,C,914,Si
CPF29,C,915,Si
CPF30,C,916,Si
CPF31,C,917,Si
CPF32,C,918,Si
CPG,C,919,Si
CPG,C,920,Si
CPG,C,921,Si
CPG29,C,922,Si
CPG30,C,923,Si
CPG31,C,924,Si
CPG32,C,925,Si
J_JAULA 1,Jaulas,926,Si
J_REP__L2,Jaulas,927,Si
J_JAULA 2,Jaulas,928,Si
J_JAULA 3,Jaulas,929,Si
J_JAULA 4,Jaulas,930,Si
J_JAULA 5,Jaulas,931,Si
J_JAULA 8,Jaulas,932,Si
J_JAULA 9,Jaulas,933,Si
